Factuurnummer of Subset_sales_data_Prediction_beers,Factuurdatum,Identificatienummer,Naam of Subset_sales_data_Prediction_beers,Commerciële naam,Bedrijfscategorieën,Vertegenwoordiger,Land,Stad,Prijsklasse,Artikelnummer,Naam product,Productcategorieën,Aantal,Grondstof,Liter,Liter_clean,Year of Subset_sales_data_Prediction_beers,Factuurnummer of FINAL SubsetData_PredictionBeers,Naam of FINAL SubsetData_PredictionBeers,Year of FINAL SubsetData_PredictionBeers,N Rows,Sum(Liter_clean),Order_Size
202200690,19/09/2022,000467,Van Bieren Retail,Van Bieren Retail B.V. Full Service,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren fullservice,000200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,2,Hoop Bleke Nelis,3.96,3.96,2022,202200690,Van Bieren Retail,2022,3,11.22,Regular
202200690,19/09/2022,000467,Van Bieren Retail,Van Bieren Retail B.V. Full Service,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren fullservice,000195,Hoop Cadeauset 6x 4 fles Seasonal Summer,Cadeauset,2,Hoop Kaper Tropical - Summer Session IPA,3.96,3.96,2022,202200690,Van Bieren Retail,2022,3,11.22,Regular
202200690,19/09/2022,000467,Van Bieren Retail,Van Bieren Retail B.V. Full Service,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren fullservice,000192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,2,Hoop Bleke Nelis,3.3,3.3,2022,202200690,Van Bieren Retail,2022,3,11.22,Regular
202200693,19/09/2022,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,000200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,3,Hoop Bleke Nelis,5.94,5.94,2022,202200693,Van Bieren Retail B.V.,2022,1,5.94,Regular
202200695,19/09/2022,19,BierGro BV,BierGro BV,Distributeurs,Dennis de Leeuw,Nederland,Middenmeer,Korting 20%,000200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,1,Hoop Bleke Nelis,1.98,1.98,2022,202200695,BierGro BV,2022,1,1.98,Regular
202200696,19/09/2022,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,000200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,3,Hoop Bleke Nelis,5.94,5.94,2022,202200696,Van Bieren Retail B.V.,2022,1,5.94,Regular
202200697,19/09/2022,716,Valerius Boutique Hotel,Valerius Boutique Hotel,"Horeca, hotel, Zaanstreek",Sjors Sombroek,Nederland,WORMER,Korting 15%,000017,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",4,Hoop Bleke Nelis,15.84,15.84,2022,202200697,Valerius Boutique Hotel,2022,1,15.84,Regular
202200698,19/09/2022,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,000200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,2,Hoop Bleke Nelis,3.96,3.96,2022,202200698,Van Bieren Retail B.V.,2022,1,3.96,Regular
202200699,19/09/2022,333,VVV Zaanstore,VVV Zaanstore,"Retail, Zaanstreek",Sjors Sombroek,Nederland,Zaandam,Korting 15%,000017,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",2,Hoop Bleke Nelis,7.92,7.92,2022,202200699,VVV Zaanstore,2022,1,7.92,Regular
202200700,19/09/2022,22,Slijterij Vonk B.V.,Slijterij Vonk B.V.,"Retail, Slijterij, Zaanstreek",Dennis de Leeuw,Nederland,ZAANDAM,Korting 15%,000192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,5,Hoop Bleke Nelis,8.25,8.25,2022,202200700,Slijterij Vonk B.V.,2022,3,28.05,Regular
202200700,19/09/2022,22,Slijterij Vonk B.V.,Slijterij Vonk B.V.,"Retail, Slijterij, Zaanstreek",Dennis de Leeuw,Nederland,ZAANDAM,Korting 15%,000200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,5,Hoop Bleke Nelis,9.9,9.9,2022,202200700,Slijterij Vonk B.V.,2022,3,28.05,Regular
202200700,19/09/2022,22,Slijterij Vonk B.V.,Slijterij Vonk B.V.,"Retail, Slijterij, Zaanstreek",Dennis de Leeuw,Nederland,ZAANDAM,Korting 15%,000195,Hoop Cadeauset 6x 4 fles Seasonal Summer,Cadeauset,5,Hoop Kaper Tropical - Summer Session IPA,9.9,9.9,2022,202200700,Slijterij Vonk B.V.,2022,3,28.05,Regular
202200701,19/09/2022,9045,Boutique Hotel Zaan & Boutique Hotel,Boutique Hotel Zaan & Boutique Hotel,"Horeca, hotel, Zaanstreek",,Nederland,ZAANDIJK,Korting 15%,000017,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",4,Hoop Bleke Nelis,15.84,15.84,2022,202200701,Boutique Hotel Zaan & Boutique Hotel,2022,1,15.84,Regular
